日付,出来高,売買代金,全銘柄数,値付き,値上がり,変わらず,値下がり,比較不可
2017/6/20,1836540200,2520000000000 ,2020,2020,1532,99,389,0
2017/6/19,1484695300,1990000000000 ,2020,2020,1414,97,508,1
2017/6/18,2285563200,3190000000000 ,2019,2018,1237,129,652,1
2017/6/17,1881927100,2480000000000 ,2019,2019,817,139,1063,0
2017/6/16,1701275800,2210000000000 ,2018,2018,774,162,1082,0
2017/6/15,1614382200,2120000000000 ,2018,2018,1106,164,748,0
2017/6/14,1785764400,2310000000000 ,2018,2018,896,142,980,0
2017/6/13,2263877000,3200000000000 ,2018,2018,903,133,982,0
2017/6/12,1983758200,2530000000000 ,2017,2017,698,121,1198,0
2017/6/11,1718170300,2320000000000 ,2017,2017,1150,174,693,0
2017/6/10,1704827900,2470000000000 ,2017,2017,292,90,1635,0
2017/6/9,1648113000,2380000000000 ,2017,2017,829,118,1070,0
2017/6/8,2315126600,3220000000000 ,2017,2017,1509,88,420,0
2017/6/7,1738305000,2470000000000 ,2017,2017,1620,88,309,0
2017/6/6,2018985800,3020000000000 ,2016,2016,622,112,1282,0
2017/6/5,1326038200,1880000000000 ,2016,2016,1092,173,751,0
2017/6/4,1274532100,1790000000000 ,2016,2016,933,138,945,0
2017/6/3,1563612200,2160000000000 ,2016,2016,379,99,1538,0
2017/6/2,1677279100,2220000000000 ,2016,2016,817,160,1039,0
2017/6/1,1728231600,2220000000000 ,2016,2016,1427,123,466,0
